Date,Shift,Line,Product,Target,Actual
2026-07-24,A,L4,Bearing Housing,900,887
2026-07-24,B,L1,Brake Disc,1000,1014
2026-07-24,B,L2,Gear Housing,800,802
2026-07-24,B,L3,Brake Disc,1100,1114
2026-07-24,B,L4,Bearing Housing,900,904
2026-07-24,C,L1,Brake Disc,1000,982
2026-07-24,C,L2,Gear Housing,800,786
2026-07-24,C,L3,Brake Disc,1100,1063
2026-07-24,C,L4,Bearing Housing,900,869
2026-07-25,A,L1,Brake Disc,1000,986
2026-07-25,A,L2,Gear Housing,800,785
2026-07-25,A,L3,Brake Disc,1100,1091
2026-07-25,A,L4,Bearing Housing,900,888
2026-07-25,B,L1,Brake Disc,1000,1008
2026-07-25,B,L2,Gear Housing,800,802
2026-07-25,B,L3,Brake Disc,1100,1093
2026-07-25,B,L4,Bearing Housing,900,902
2026-07-25,C,L1,Brake Disc,1000,985
2026-07-25,C,L2,Gear Housing,800,786
2026-07-25,C,L3,Brake Disc,1100,1085
2026-07-25,C,L4,Bearing Housing,900,869
2026-07-26,A,L1,Brake Disc,1000,988
2026-07-26,A,L2,Gear Housing,800,779
2026-07-26,A,L3,Brake Disc,1100,1089
2026-07-26,A,L4,Bearing Housing,900,881
2026-07-26,B,L1,Brake Disc,1000,1003
2026-07-26,B,L2,Gear Housing,800,796
2026-07-26,B,L3,Brake Disc,1100,1115
2026-07-26,B,L4,Bearing Housing,900,895
2026-07-26,C,L1,Brake Disc,1000,966
2026-07-26,C,L2,Gear Housing,800,772
2026-07-26,C,L3,Brake Disc,1100,1072
2026-07-26,C,L4,Bearing Housing,900,887
2026-07-27,A,L1,Brake Disc,1000,993
2026-07-27,A,L2,Gear Housing,800,797
2026-07-27,A,L3,Brake Disc,1100,1086
2026-07-27,A,L4,Bearing Housing,900,876
2026-07-27,B,L1,Brake Disc,1000,1017
2026-07-27,B,L2,Gear Housing,800,807
2026-07-27,B,L3,Brake Disc,1100,1096
2026-07-27,B,L4,Bearing Housing,900,914
2026-07-27,C,L1,Brake Disc,1000,970
2026-07-27,C,L2,Gear Housing,800,783
2026-07-27,C,L3,Brake Disc,1100,1068
2026-07-27,C,L4,Bearing Housing,900,873
2026-07-28,A,L1,Brake Disc,1000,983
2026-07-28,A,L2,Gear Housing,800,792
2026-07-28,A,L3,Brake Disc,1100,1040
2026-07-28,A,L4,Bearing Housing,900,877
2026-07-28,B,L1,Brake Disc,1000,1005
2026-07-28,B,L2,Gear Housing,800,809
2026-07-28,B,L3,Brake Disc,1100,1055
2026-07-28,B,L4,Bearing Housing,900,901
2026-07-28,C,L1,Brake Disc,1000,980
2026-07-28,C,L2,Gear Housing,800,776
2026-07-28,C,L3,Brake Disc,1100,1024
2026-07-28,C,L4,Bearing Housing,900,870
2026-07-29,A,L1,Brake Disc,1000,994
2026-07-29,A,L2,Gear Housing,800,779
2026-07-29,A,L3,Brake Disc,1100,1077
2026-07-29,A,L4,Bearing Housing,900,891
2026-07-29,B,L1,Brake Disc,1000,1015
2026-07-29,B,L2,Gear Housing,800,808
2026-07-29,B,L3,Brake Disc,1100,1093
2026-07-29,B,L4,Bearing Housing,900,897
2026-07-29,C,L1,Brake Disc,1000,985
2026-07-29,C,L2,Gear Housing,800,771
2026-07-29,C,L3,Brake Disc,1100,1060
2026-07-29,C,L4,Bearing Housing,900,886
2026-07-30,A,L1,Brake Disc,1000,987
2026-07-30,A,L2,Gear Housing,800,780
2026-07-30,A,L3,Brake Disc,1100,1096
2026-07-30,A,L4,Bearing Housing,900,885
2026-07-30,B,L1,Brake Disc,1000,1014
2026-07-30,B,L2,Gear Housing,800,808
2026-07-30,B,L3,Brake Disc,1100,1099
2026-07-30,B,L4,Bearing Housing,900,903
2026-07-30,C,L1,Brake Disc,1000,973
2026-07-30,C,L2,Gear Housing,800,783
2026-07-30,C,L3,Brake Disc,1100,1073
2026-07-30,C,L4,Bearing Housing,900,881
2026-07-31,A,L1,Brake Disc,1000,991
2026-07-31,A,L2,Gear Housing,800,780
2026-07-31,A,L3,Brake Disc,1100,1092
2026-07-31,A,L4,Bearing Housing,900,888
2026-07-31,B,L1,Brake Disc,1000,1006
2026-07-31,B,L2,Gear Housing,800,802
2026-07-31,B,L3,Brake Disc,1100,1096
2026-07-31,B,L4,Bearing Housing,900,903
2026-07-31,C,L1,Brake Disc,1000,983
2026-07-31,C,L2,Gear Housing,800,778
2026-07-31,C,L3,Brake Disc,1100,1080
2026-07-31,C,L4,Bearing Housing,900,880
2026-08-01,A,L1,Brake Disc,1000,996
2026-08-01,A,L2,Gear Housing,800,779
2026-08-01,A,L3,Brake Disc,1100,1078
2026-08-01,A,L4,Bearing Housing,900,895
2026-08-01,B,L1,Brake Disc,1000,997
2026-08-01,B,L2,Gear Housing,800,796
2026-08-01,B,L3,Brake Disc,1100,1116
2026-08-01,B,L4,Bearing Housing,900,902
2026-08-01,C,L1,Brake Disc,1000,978
2026-08-01,C,L2,Gear Housing,800,771
2026-08-01,C,L3,Brake Disc,1100,1065
2026-08-01,C,L4,Bearing Housing,900,871
2026-08-02,A,L1,Brake Disc,1000,997
2026-08-02,A,L2,Gear Housing,800,786
2026-08-02,A,L3,Brake Disc,1100,1045
2026-08-02,A,L4,Bearing Housing,900,897
2026-08-02,B,L1,Brake Disc,1000,1017
2026-08-02,B,L2,Gear Housing,800,795
2026-08-02,B,L3,Brake Disc,1100,1061
2026-08-02,B,L4,Bearing Housing,900,898
2026-08-02,C,L1,Brake Disc,1000,979
2026-08-02,C,L2,Gear Housing,800,773
2026-08-02,C,L3,Brake Disc,1100,1031
2026-08-02,C,L4,Bearing Housing,900,884
2026-08-03,A,L1,Brake Disc,1000,996
2026-08-03,A,L2,Gear Housing,800,779
2026-08-03,A,L3,Brake Disc,1100,1024
2026-08-03,A,L4,Bearing Housing,900,891
2026-08-03,B,L1,Brake Disc,1000,1015
2026-08-03,B,L2,Gear Housing,800,794
2026-08-03,B,L3,Brake Disc,1100,1032
2026-08-03,B,L4,Bearing Housing,900,895
2026-08-03,C,L1,Brake Disc,1000,966
2026-08-03,C,L2,Gear Housing,800,776
2026-08-03,C,L3,Brake Disc,1100,1006
2026-08-03,C,L4,Bearing Housing,900,882
2026-08-04,A,L1,Brake Disc,1000,976
2026-08-04,A,L2,Gear Housing,800,795
2026-08-04,A,L3,Brake Disc,1100,965
2026-08-04,A,L4,Bearing Housing,900,884
2026-08-04,B,L1,Brake Disc,1000,997
2026-08-04,B,L2,Gear Housing,800,801
2026-08-04,B,L3,Brake Disc,1100,970
2026-08-04,B,L4,Bearing Housing,900,904
2026-08-04,C,L1,Brake Disc,1000,984
2026-08-04,C,L2,Gear Housing,800,787
2026-08-04,C,L3,Brake Disc,1100,960
2026-08-04,C,L4,Bearing Housing,900,886
