Date,Shift,Machine ID,Start Time,Duration,Reason,Category
2026-07-21,A,M301,15:50,7,Routine reset,Process
2026-07-21,A,M401,10:40,6,Tool adjustment,Process
2026-07-21,B,M101,10:50,12,Tool adjustment,Material
2026-07-21,B,M401,08:10,3,Material delay,Material
2026-07-21,C,M101,08:00,4,Material delay,Material
2026-07-21,C,M301,16:10,6,Minor stoppage,Material
2026-07-22,A,M101,10:40,3,Routine reset,Material
2026-07-22,A,M301,17:10,10,Minor stoppage,Mechanical
2026-07-22,A,M401,07:10,9,Minor stoppage,Mechanical
2026-07-22,B,M101,14:30,3,Tool adjustment,Mechanical
2026-07-22,B,M301,17:00,6,Minor stoppage,Mechanical
2026-07-22,B,M401,08:40,5,Material delay,Material
2026-07-22,C,M101,09:40,7,Minor stoppage,Process
2026-07-22,C,M201,11:50,4,Minor stoppage,Process
2026-07-22,C,M401,17:50,12,Routine reset,Process
2026-07-23,A,M101,09:40,3,Minor stoppage,Material
2026-07-23,A,M401,08:40,5,Material delay,Process
2026-07-23,B,M101,07:30,3,Routine reset,Process
2026-07-23,B,M201,13:10,11,Material delay,Material
2026-07-23,B,M301,15:40,6,Minor stoppage,Process
2026-07-23,B,M401,16:30,9,Routine reset,Mechanical
2026-07-23,C,M101,11:10,12,Minor stoppage,Process
2026-07-23,C,M201,15:30,10,Routine reset,Process
2026-07-23,C,M401,07:20,12,Routine reset,Process
2026-07-24,A,M101,08:50,8,Routine reset,Mechanical
2026-07-24,A,M301,16:10,12,Minor stoppage,Process
2026-07-24,B,M101,11:00,8,Tool adjustment,Mechanical
2026-07-24,B,M401,15:40,5,Tool adjustment,Mechanical
2026-07-24,C,M101,15:10,3,Tool adjustment,Process
2026-07-24,C,M301,14:40,4,Routine reset,Process
2026-07-24,C,M401,16:10,3,Tool adjustment,Material
2026-07-25,A,M101,17:00,11,Minor stoppage,Mechanical
2026-07-25,A,M201,09:50,9,Material delay,Material
2026-07-25,A,M301,12:20,11,Tool adjustment,Material
2026-07-25,A,M401,17:50,3,Tool adjustment,Process
2026-07-25,B,M101,17:40,9,Minor stoppage,Process
2026-07-25,C,M201,15:10,4,Tool adjustment,Process
2026-07-25,C,M301,17:50,3,Routine reset,Material
2026-07-25,C,M401,08:30,10,Tool adjustment,Material
2026-07-26,A,M101,12:00,4,Material delay,Material
2026-07-26,A,M201,09:30,9,Routine reset,Material
2026-07-26,A,M301,12:40,8,Tool adjustment,Material
2026-07-26,A,M401,09:20,3,Material delay,Process
2026-07-26,B,M201,16:50,6,Material delay,Process
2026-07-26,B,M301,09:30,11,Routine reset,Material
2026-07-26,B,M401,07:20,10,Routine reset,Mechanical
2026-07-26,C,M101,17:50,5,Material delay,Mechanical
2026-07-26,C,M301,08:50,6,Minor stoppage,Mechanical
2026-07-27,A,M201,14:30,7,Tool adjustment,Mechanical
2026-07-27,A,M401,17:10,12,Material delay,Material
2026-07-27,B,M201,14:40,7,Minor stoppage,Process
2026-07-27,C,M101,12:40,5,Material delay,Process
2026-07-27,C,M201,16:20,8,Routine reset,Material
2026-07-27,C,M301,17:40,7,Minor stoppage,Process
2026-07-27,C,M401,08:50,4,Material delay,Mechanical
2026-07-28,A,M101,09:40,7,Material delay,Material
2026-07-28,A,M201,17:20,9,Material delay,Mechanical
2026-07-28,B,M101,08:30,9,Minor stoppage,Material
2026-07-28,B,M301,13:10,10,Minor stoppage,Mechanical
2026-07-28,B,M401,10:00,5,Minor stoppage,Material
2026-07-28,C,M101,08:10,3,Tool adjustment,Material
2026-07-28,C,M201,14:20,9,Minor stoppage,Material
2026-07-28,C,M301,09:00,8,Minor stoppage,Mechanical
2026-07-28,C,M401,09:30,10,Material delay,Mechanical
2026-07-29,A,M101,16:40,3,Minor stoppage,Mechanical
2026-07-29,A,M201,13:10,12,Material delay,Material
2026-07-29,A,M301,11:50,7,Material delay,Mechanical
2026-07-29,A,M401,13:50,11,Routine reset,Mechanical
2026-07-29,B,M101,16:30,4,Tool adjustment,Mechanical
2026-07-29,B,M201,10:10,6,Material delay,Material
2026-07-29,C,M101,08:50,11,Routine reset,Mechanical
2026-07-29,C,M201,11:50,11,Routine reset,Material
2026-07-29,C,M301,11:00,11,Minor stoppage,Process
2026-07-30,A,M101,11:50,8,Material delay,Material
2026-07-30,B,M101,17:00,4,Minor stoppage,Process
2026-07-30,B,M201,07:00,11,Routine reset,Mechanical
2026-07-30,B,M301,08:50,11,Minor stoppage,Mechanical
2026-07-30,B,M401,15:00,5,Material delay,Mechanical
2026-07-30,C,M101,13:40,6,Routine reset,Mechanical
2026-07-30,C,M201,09:10,3,Tool adjustment,Material
2026-07-30,C,M301,17:10,3,Tool adjustment,Material
2026-07-31,A,M301,13:50,4,Tool adjustment,Mechanical
2026-07-31,B,M201,07:50,9,Minor stoppage,Mechanical
2026-07-31,C,M101,12:20,3,Material delay,Mechanical
2026-07-31,C,M201,16:50,4,Minor stoppage,Process
2026-07-31,C,M301,11:50,5,Routine reset,Material
2026-07-31,C,M401,12:40,3,Routine reset,Mechanical
2026-08-01,A,M301,15:50,4,Routine reset,Material
2026-08-01,A,M401,12:40,9,Tool adjustment,Mechanical
2026-08-01,B,M201,08:10,11,Minor stoppage,Material
2026-08-01,B,M301,16:30,5,Material delay,Mechanical
2026-08-01,C,M401,11:30,11,Tool adjustment,Process
2026-08-02,A,M101,16:30,5,Material delay,Material
2026-08-02,A,M201,14:50,4,Minor stoppage,Process
2026-08-02,B,M201,14:20,10,Material delay,Process
2026-08-02,B,M401,12:40,10,Minor stoppage,Mechanical
2026-08-02,C,M201,11:20,4,Material delay,Mechanical
2026-08-02,C,M301,09:50,5,Minor stoppage,Mechanical
2026-08-02,C,M401,15:40,3,Tool adjustment,Material
2026-08-03,A,M101,10:30,11,Material delay,Process
2026-08-03,A,M201,11:50,11,Minor stoppage,Mechanical
2026-08-03,B,M301,10:50,3,Tool adjustment,Material
2026-08-03,B,M401,12:20,11,Tool adjustment,Process
2026-08-03,C,M101,12:30,3,Minor stoppage,Process
2026-08-03,C,M201,11:00,4,Minor stoppage,Mechanical
2026-08-03,C,M401,08:00,12,Minor stoppage,Mechanical
2026-08-04,A,M101,17:40,3,Routine reset,Mechanical
2026-08-04,A,M201,07:10,6,Material delay,Process
2026-08-04,A,M301,12:10,12,Minor stoppage,Process
2026-08-04,A,M401,13:30,5,Minor stoppage,Material
2026-08-04,B,M101,14:40,10,Material delay,Material
2026-08-04,B,M201,08:20,8,Minor stoppage,Process
2026-08-04,B,M301,17:50,6,Routine reset,Mechanical
2026-08-04,B,M401,08:50,8,Material delay,Material
2026-08-04,C,M101,16:20,8,Minor stoppage,Process
2026-08-04,C,M201,14:20,4,Routine reset,Process
2026-08-04,C,M301,17:20,4,Routine reset,Material
2026-08-04,C,M401,07:10,9,Material delay,Mechanical
2026-07-20,A,M301,10:20,9,High temperature warning,Mechanical
2026-07-28,A,M301,11:15,14,High temperature warning,Mechanical
2026-08-02,A,M301,12:05,18,Temperature warning,Mechanical
2026-08-03,A,M301,14:30,28,Cooling system issue,Mechanical
2026-08-04,A,M301,13:10,47,Overheating,Mechanical
